Temperature,Energy,Accept,Improve,Elapsed,Remaining
1132.2439497590515,1.32779124492e+18,0.0,0.0,   0:03:22,   0:06:40
1121.86347483283,1.32779124492e+18,0.0,0.0,   0:03:23,   0:06:39
1111.5781686727717,1.32779124492e+18,0.0,0.0,   0:03:23,   0:06:38
1101.387158766383,1.32779124492e+18,1.0,0.0,   0:03:24,   0:06:38
1091.2895806004146,1.32779124492e+18,0.0,0.0,   0:03:24,   0:06:37
1081.2845775875219,1.32779124492e+18,0.0,0.0,   0:03:25,   0:06:36
1071.3713009935987,1.32779124492e+18,0.0,0.0,   0:03:25,   0:06:35
1061.5489098657824,1.32779124492e+18,0.0,0.0,   0:03:26,   0:06:34
1051.8165709611096,1.32779124492e+18,0.0,0.0,   0:03:26,   0:06:33
1042.1734586758378,1.32779124492e+18,0.0,0.0,   0:03:27,   0:06:32
1032.6187549754031,1.32779124492e+18,0.0,0.0,   0:03:27,   0:06:31
1023.1516493250267,1.32779124492e+18,0.0,0.0,   0:03:28,   0:06:31
1013.771338620959,1.32779124492e+18,0.0,0.0,   0:03:28,   0:06:31
1004.4770271223497,1.32779124492e+18,0.0,0.0,   0:03:29,   0:06:30
995.2679263837426,1.32779124492e+18,0.0,0.0,   0:03:30,   0:06:29
986.143255188196,1.32779124492e+18,0.0,0.0,   0:03:30,   0:06:28
977.1022394810049,1.32779124492e+18,0.0,0.0,   0:03:31,   0:06:28
968.1441123040426,1.32779124492e+18,0.0,0.0,   0:03:31,   0:06:27
959.2681137306969,1.32779124492e+18,0.0,0.0,   0:03:32,   0:06:26
950.4734908014024,1.32779124492e+18,0.0,0.0,   0:03:32,   0:06:26
941.7594974597719,1.32779124492e+18,0.0,0.0,   0:03:33,   0:06:25
933.125394489301,1.32779124492e+18,0.0,0.0,   0:03:33,   0:06:25
924.5704494506649,1.32779124492e+18,0.0,0.0,   0:03:34,   0:06:24
916.0939366195829,1.32779124492e+18,0.0,0.0,   0:03:34,   0:06:23
907.6951369252529,1.32779124492e+18,1.0,0.0,   0:03:35,   0:06:22
899.3733378893555,1.32779124492e+18,0.0,0.0,   0:03:35,   0:06:21
891.1278335656103,1.32779124492e+18,0.0,0.0,   0:03:36,   0:06:21
882.957924479892,1.32779124492e+18,0.0,0.0,   0:03:37,   0:06:20
874.862917570893,1.32779124492e+18,0.0,0.0,   0:03:37,   0:06:19
866.842126131329,1.32779124492e+18,1.0,0.0,   0:03:38,   0:06:18
858.8948697496867,1.32779124492e+18,0.0,0.0,   0:03:38,   0:06:18
851.0204742525018,1.32779124492e+18,0.0,0.0,   0:03:39,   0:06:17
843.2182716471717,1.32779124492e+18,0.0,0.0,   0:03:39,   0:06:17
835.4876000652854,1.32779124492e+18,0.0,0.0,   0:03:40,   0:06:16
827.8278037064773,1.32779124492e+18,0.0,0.0,   0:03:40,   0:06:15
820.2382327827975,1.32779124492e+18,0.0,0.0,   0:03:41,   0:06:14
812.7182434635857,1.32779124492e+18,0.0,0.0,   0:03:41,   0:06:14
805.2671978208583,1.32779124492e+18,0.0,0.0,   0:03:42,   0:06:13
797.8844637751902,1.32779124492e+18,0.0,0.0,   0:03:43,   0:06:13
790.5694150420946,1.32779124492e+18,0.0,0.0,   0:03:43,   0:06:12
783.3214310788964,1.32779124492e+18,0.0,0.0,   0:03:44,   0:06:11
776.1398970320888,1.32779124492e+18,0.0,0.0,   0:03:44,   0:06:11
769.0242036851768,1.32779124492e+18,0.0,0.0,   0:03:45,   0:06:10
761.9737474069955,1.32779124492e+18,0.0,0.0,   0:03:46,   0:06:10
754.9879301005036,1.32779124492e+18,0.0,0.0,   0:03:46,   0:06:09
748.0661591520471,1.32779124492e+18,0.0,0.0,   0:03:47,   0:06:09
741.2078473810853,1.32779124492e+18,0.0,0.0,   0:03:48,   0:06:08
734.4124129903822,1.32779124492e+18,0.0,0.0,   0:03:48,   0:06:08
727.6792795166511,1.32779124492e+18,0.0,0.0,   0:03:49,   0:06:08
721.0078757816511,1.32779124492e+18,0.0,0.0,   0:03:50,   0:06:07
714.3976358437367,1.32779124492e+18,1.0,0.0,   0:03:51,   0:06:07
707.8479989498446,1.32779124492e+18,0.0,0.0,   0:03:51,   0:06:07
701.3584094879282,1.32779124492e+18,0.0,0.0,   0:03:52,   0:06:06
694.9283169398221,1.32779124492e+18,1.0,0.0,   0:03:53,   0:06:05
688.5571758345411,1.32779124492e+18,0.0,0.0,   0:03:53,   0:06:04
682.24444570201,1.32779124492e+18,0.0,0.0,   0:03:53,   0:06:04
675.9895910272106,1.32779124492e+18,0.0,0.0,   0:03:54,   0:06:03
669.7920812047576,1.32779124492e+18,0.0,0.0,   0:03:54,   0:06:02
663.6513904938846,1.32779124492e+18,1.0,0.0,   0:03:55,   0:06:01
657.5669979738452,1.32779124492e+18,0.0,0.0,   0:03:56,   0:06:01
651.5383874997237,1.32779124492e+18,0.0,0.0,   0:03:56,   0:06:01
645.5650476586488,1.32779124492e+18,0.0,0.0,   0:03:57,   0:06:00
639.6464717264112,1.32779124492e+18,1.0,0.0,   0:03:58,   0:05:59
633.7821576244769,1.32779124492e+18,0.0,0.0,   0:03:58,   0:05:59
627.9716078773948,1.32779124492e+18,0.0,0.0,   0:03:59,   0:05:59
622.2143295705978,1.32779124492e+18,0.0,0.0,   0:04:00,   0:05:58
616.5098343085845,1.32779124492e+18,1.0,0.0,   0:04:00,   0:05:57
610.8576381734925,1.32779124492e+18,0.0,0.0,   0:04:01,   0:05:57
605.2572616840444,1.32779124492e+18,0.0,0.0,   0:04:01,   0:05:56
599.7082297548724,1.32779124492e+18,0.0,0.0,   0:04:02,   0:05:55
594.210071656219,1.32779124492e+18,0.0,0.0,   0:04:02,   0:05:54
588.7623209740023,1.32779124492e+18,0.0,0.0,   0:04:03,   0:05:53
583.3645155702504,1.32779124492e+18,0.0,0.0,   0:04:03,   0:05:53
578.0161975438986,1.32779124492e+18,0.0,0.0,   0:04:04,   0:05:53
572.7169131919431,1.32779124492e+18,0.0,0.0,   0:04:05,   0:05:52
567.4662129709554,1.32779124492e+18,0.0,0.0,   0:04:05,   0:05:51
562.2636514589452,1.32779124492e+18,0.0,0.0,   0:04:06,   0:05:51
557.1087873175758,1.32779124492e+18,0.0,0.0,   0:04:07,   0:05:51
552.0011832547248,1.32779124492e+18,0.0,0.0,   0:04:07,   0:05:50
546.9404059873879,1.32779124492e+18,0.0,0.0,   0:04:08,   0:05:49
541.9260262049235,1.32779124492e+18,0.0,0.0,   0:04:09,   0:05:49
